title,creators,collection,tags,call_number,ddc,lcc,lendings
"Love Hypothesis","Ali Hazelwood",Philippines,,,813.6,,0
"Case-book of Sherlock Holmes (Collins Classics)","Arthur Conan (england) Doyle",Philippines,,,823.8,PR4622,0
"Catcher in the Rye","J.D. Salinger",Philippines,,,813.5,PS3537.A426,0
"Memoirs of Sherlock Holmes","A. Conan Doyle",Philippines,,,823.8,PR4622,0
"XVALLEY OF FEAR-CLASSICS PB","ARTHUR CONAN DOYLE",Philippines,,,823.912,,0
"Next Person You Meet in Heaven","Mitch Albom",Philippines,,,,,0
"Eleven Minutes","Paulo Coelho",Philippines,,,869.342,PQ9698.13.O3546,0
"Five People You Meet in Heaven","Mitch Albom",Philippines,,,813.6,PS3601.L335,0
Layla,"Colleen Hoover",Philippines,,,630.1,PS3608.O623,0
"Lily's Promise: Holding on to Hope Through Auschwitz and Beyond--A Story for All Generations","Lily Ebert, Dov Forman",Philippines,,,,,0
"Remember Me","Christopher Pike",Philippines,,,813.54,PS3566.I4473,0
Fish!,"Harry Paul, John Christensen Stephen C. Lundin",Philippines,,,658.4,HF5549.5.M63,0
Meditations,"Marcus Aurelius, George Long (Translator), Carolyn Gregoire (Foreword by)",Philippines,,,188,B580,0
"Happiest Man on Earth","Eddie Jaku",Philippines,,,940.5318092,"DS134.42.J35 A3",0
"Study in Scarlet: A Sherlock Holmes Adventure (Collins Classics)","Sir Arthur Conan Doyle",Philippines,,,823.8,PR4622,0
"Alchemist: A Fable About Following Your Dream","Paulo Coelho, Amy Jurskis",Philippines,,,869.3,PQ9698.13.O3546,0
"Monsters And Magic - NLP Coaching and Couseling Stories","Emmanuel F. Silan, PHD",Philippines,,,,,0
"Heartbreaking Work of Staggering Genius","Dave Eggers",Philippines,,,973.92092,CT275.E37,0
"Things You Can See Only When You Slow Down: How to Be Calm and Mindful in a Fast-Paced World","Haemin Sunim",Philippines,,,294.344,BJ1594.5.K6,0
"10x Is Easier Than 2x","Dan Sullivan, Benjamin Hardy",Philippines,,,,,0
"Heart Bones","Colleen Hoover",Philippines,,,,,0
"Hound of the Baskervilles: A Sherlock Holmes Adventure (Collins Classics)","Sir Arthur Conan Doyle",Philippines,,,823.8,PR4622,0
"Book Of Disquiet (Penguin Modern Classics)","Fernando Pessoa",Philippines,,,869.141,PQ9261.P417,0
"Reasons to Stay Alive","Matt Haig",Philippines,,,823,"PR6108.A39 R43",0
"Boundary Boss","Terri Cole",Philippines,,,,,0
"Diary of a Wimpy Kid, a Novel in Cartoons","Jeff Kinney",Philippines,,,813.6,PZ7.K6232,0
"Happiness for Beginners","Katherine Center",Philippines,,,813.6,PS3603.E67,0
"Finding Me","Viola Davis",Philippines,,,792.028092,PN2287.D3225,0
"Kind Worth Killing: A Novel","Peter Swanson",Philippines,,,813.6,PS3619.W3635,0
"Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book)","Don Miguel Ruiz",Philippines,,,299.792,,0
"Sign of the Four (Collins Classics)","Sir Arthur Conan Doyle",Philippines,,,823.8,PR4622,0
"Midnight Sun","Stephenie Meyer",Philippines,,,813.6,PS3613.E979,0
"Light We Carry: Overcoming in Uncertain Times","Michelle Obama",Philippines,,,,,0
Abduction,"Mark Gimenez",Philippines,,,813.6,PS3607.I456,0
"Slow Productivity","Cal Newport",Philippines,,,331.118,HC79.L3.N497,0
"Big Sky","Adam Ferguson",Philippines,"mak03 reference",,,,0
"Poor Charlie's Almanack","Charles T. Munger",Philippines,,,,,0
"Think Again: The Power of Knowing What You Don't Know","Adam Grant",Philippines,,,,,0
"Mindset: The New Psychology of Success","Carol Dweck",Philippines,,,153.8,BF773.D85,0
"One Piece, Vol. 106","Eiichiro Oda",Philippines,,,,,0
Caraval,"Stephanie Garber",Philippines,,,813.6,PZ7.1.G367,0
"Surrounded by Psychopaths","Thomas Erikson",Philippines,,,158.2,BF632.5.E7513,0
"Flow: The Psychology of Optimal Experience","Mihaly Csikszentmihalyi",Philippines,,,155.2,BF575.H27,0
"Within These Wicked Walls","Lauren Blackwood",Philippines,,,813.6,PZ7.1.B57,0
